# scene=floor-bounce krb=on dt=0.0166667 seconds=600 sample_every=60 e0=90 velocity_iterations=8 position_iterations=3 meter=translational engine=gearbox2d
engine,t_s,e_over_e0
gearbox2d,510,1.01049
gearbox2d,511,1.00123
gearbox2d,512,0.991975
gearbox2d,513,1.00756
gearbox2d,514,0.998302
gearbox2d,515,0.989044
gearbox2d,516,1.00494
gearbox2d,517,0.995679
gearbox2d,518,1.01127
gearbox2d,519,1.00201
gearbox2d,520,0.992746
gearbox2d,521,1.00833
gearbox2d,522,0.999074
gearbox2d,523,0.989815
gearbox2d,524,1.0054
gearbox2d,525,0.996142
gearbox2d,526,1.01173
gearbox2d,527,1.00247
gearbox2d,528,0.993209
gearbox2d,529,1.0088
gearbox2d,530,0.999537
gearbox2d,531,0.990278
gearbox2d,532,1.00617
gearbox2d,533,0.996913
gearbox2d,534,0.987655
gearbox2d,535,1.00324
gearbox2d,536,0.993981
gearbox2d,537,1.00957
gearbox2d,538,1.00031
gearbox2d,539,0.991049
gearbox2d,540,1.00664
gearbox2d,541,0.997376
gearbox2d,542,0.988118
gearbox2d,543,1.00401
gearbox2d,544,0.994753
gearbox2d,545,1.01034
gearbox2d,546,1.00108
gearbox2d,547,0.99182
gearbox2d,548,1.00741
gearbox2d,549,0.998148
gearbox2d,550,0.988889
gearbox2d,551,1.00447
gearbox2d,552,0.995216
gearbox2d,553,1.0108
gearbox2d,554,1.00154
gearbox2d,555,0.992283
gearbox2d,556,1.00787
gearbox2d,557,0.998611
gearbox2d,558,0.989352
gearbox2d,559,1.00525
gearbox2d,560,0.995988
gearbox2d,561,1.01157
gearbox2d,562,1.00231
gearbox2d,563,0.993055
gearbox2d,564,1.00864
gearbox2d,565,0.999382
gearbox2d,566,0.990123
gearbox2d,567,1.00571
gearbox2d,568,0.99645
gearbox2d,569,1.01235
gearbox2d,570,1.00309
gearbox2d,571,0.993827
gearbox2d,572,1.00941
gearbox2d,573,1.00015
gearbox2d,574,0.990895
gearbox2d,575,1.00648
gearbox2d,576,0.997222
gearbox2d,577,0.987963
gearbox2d,578,1.00355
gearbox2d,579,0.99429
gearbox2d,580,1.00988
gearbox2d,581,1.00062
gearbox2d,582,0.991358
gearbox2d,583,1.00694
gearbox2d,584,0.997685
gearbox2d,585,0.988427
gearbox2d,586,1.00432
gearbox2d,587,0.995062
gearbox2d,588,1.01065
gearbox2d,589,1.00139
gearbox2d,590,0.992129
gearbox2d,591,1.00772
gearbox2d,592,0.998457
gearbox2d,593,0.989198
gearbox2d,594,1.00478
gearbox2d,595,0.995524
gearbox2d,596,1.01142
gearbox2d,597,1.00216
gearbox2d,598,0.992901
gearbox2d,599,1.00849
gearbox2d,600,0.999228
